lookback_period,leverage,capital_allocation,momentum_threshold,sharpe_ratio,calmar_ratio,annual_return,max_drawdown,error_type,error_msg
389,1,0.2,0.08,0.5502596192142517,0.6330551919402545,0.03602086966278217,-0.05690004619088835,,
389,1,0.2,0.09,0.39510889852284703,0.29771814783740724,0.024759818018685653,-0.08316529643402097,,
389,1,0.2,0.1,0.5426017526312434,0.3663282242830641,0.03261307600195362,-0.08902692678343369,,
389,1,0.30000000000000004,0.0,-0.11309138165683218,-0.08448850496006016,-0.01612472368838358,-0.19085109502181558,,
389,1,0.30000000000000004,0.01,0.12333720783582074,0.11279395388341514,0.01681530211321358,-0.14907981797139616,,
389,1,0.30000000000000004,0.02,0.15158383740286835,0.13257183961222854,0.01994179649392014,-0.15042256750943275,,
389,1,0.30000000000000004,0.03,0.27884546496242596,0.25442718875993553,0.035258861124758845,-0.13858134146986664,,
389,1,0.30000000000000004,0.04,0.2892128878817457,0.2612085431004264,0.03495493176534148,-0.13382001733343926,,
389,1,0.30000000000000004,0.05,0.13171059068413166,0.10796570720190525,0.015205153706052466,-0.14083317842412227,,
389,1,0.30000000000000004,0.06,0.4309504168484394,0.45143188227720976,0.04709586377533115,-0.10432551537512164,,
389,1,0.30000000000000004,0.07,0.4519214421326558,0.4523719026789519,0.046667102775954206,-0.10316092246134444,,
389,1,0.30000000000000004,0.08,0.5379389847723771,0.6269009640547656,0.05282151201105245,-0.08425814449128524,,
389,1,0.30000000000000004,0.09,0.3813007567032558,0.2912602015154487,0.03584177950049572,-0.1230575935675669,,
389,1,0.30000000000000004,0.1,0.5312416343058024,0.3647029425425616,0.04789541420848953,-0.13132719433131537,,
389,1,0.4,0.0,-0.13599271788166478,-0.1039857873528284,-0.02585336998980381,-0.24862407303877188,,
389,1,0.4,0.01,0.10049378358874765,0.09314123521742361,0.018267894565324294,-0.19613111768037816,,
389,1,0.4,0.02,0.12961443218483276,0.11504492654418945,0.022735446149494187,-0.1976223274892645,,
389,1,0.4,0.03,0.25843634527133774,0.23877583146436596,0.04357094927706129,-0.18247637966476377,,
389,1,0.4,0.04,0.2698224229753799,0.24754396486685826,0.04348180771123378,-0.1756528693180644,,
389,1,0.4,0.05,0.11243278153933106,0.09384658935113446,0.017306203609239068,-0.18440951055223256,,
389,1,0.4,0.06,0.41495162425272186,0.44007108890823937,0.060463274985163684,-0.1373943358450686,,
389,1,0.4,0.07,0.43712871499321,0.4446062092061261,0.06018606706700114,-0.13536938041074,,
389,1,0.4,0.08,0.5251066333186184,0.6198623042812754,0.06874863041864443,-0.11090951965268775,,
389,1,0.4,0.09,0.36715100490053115,0.284374066107849,0.0460156281000037,-0.16181372911323164,,
389,1,0.4,0.1,0.519453264298056,0.36267469969559774,0.062443472421028545,-0.17217487868174694,,
389,1,0.5,0.0,-0.15849074627864415,-0.1241006837462353,-0.03766304519212749,-0.303487813726651,,
389,1,0.5,0.01,0.0775355657090146,0.07287877477433435,0.017618148715937698,-0.2417459510055082,,
389,1,0.5,0.02,0.10747866300605471,0.09687165904501402,0.023565810861143177,-0.24326837274659135,,
389,1,0.5,0.03,0.2376444087699968,0.2224541569272539,0.0500819286351899,-0.22513370542033745,,
389,1,0.5,0.04,0.25005970309590914,0.23309281921623295,0.05037131368867298,-0.21609980890035518,,
389,1,0.5,0.05,0.09304254623800463,0.07909334007456581,0.017901954699858447,-0.2263395967723863,,
389,1,0.5,0.06,0.398464924092947,0.4278910184140471,0.07257621391638702,-0.16961378199847824,,
389,1,0.5,0.07,0.4218758186840666,0.4359795402476208,0.07260746505082505,-0.16653869814529967,,
